index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
45,2,1,4,14,1,10,0,5,3,31.061,10,0,1,88 14 
46,4,4,7,9,1,7,1,9,2,28.165,10,0,1,88 9 
47,2,1,2,3,1,10,1,3,7,34.976,10,0,1,88 3 
48,2,2,2,23,1,49,1,13,8,40.666,10,0,1,88 23 
49,8,1,2,25,0,13,1,6,1,39.571,10,0,1,88 25 
50,1,2,4,19,0,42,1,8,5,30.666,10,0,1,88 19 
51,4,4,5,11,1,47,1,13,5,28.541,10,0,1,88 11 
52,4,1,8,10,1,14,1,15,4,27.92,10,0,1,88 10 
53,2,1,4,21,1,16,0,8,7,30.244,10,0,1,88 21 
54,4,8,6,18,0,34,0,11,4,28.67,10,0,1,88 18 
55,8,4,1,19,0,26,0,12,1,41.739,10,0,1,88 19 
56,1,2,3,15,1,41,1,12,4,30.925,10,0,1,88 15 
57,8,2,8,22,0,48,1,8,4,29.011,10,0,1,88 22 
58,8,4,3,5,0,37,1,5,9,30.281,10,0,1,88 5 
59,1,4,1,18,1,18,0,12,4,103.10700000000001,10,0,1,88 18 
60,4,4,7,29,0,34,0,6,2,27.412,10,0,1,88 29 
61,4,2,1,22,0,9,0,2,8,227.733,10,0,1,88 22 
62,8,8,3,18,1,39,1,9,1,203.122,10,0,1,88 18 
63,2,2,4,9,0,23,0,3,5,132.825,10,0,1,88 9 
64,2,1,3,12,1,29,0,14,8,133.58,10,0,1,88 12 
65,2,8,7,11,0,19,0,13,9,77.057,10,0,1,88 11 
66,4,2,8,18,0,22,1,1,2,33.954,10,0,1,88 18 
67,8,8,7,5,0,26,0,13,6,28.250999999999998,10,0,1,88 5 
68,8,8,5,21,1,26,0,15,1,29.338,10,0,1,88 21 
69,2,1,8,23,0,16,1,11,3,27.494,10,0,1,88 23 
70,4,2,6,2,1,16,1,2,7,27.473000000000003,10,0,1,88 2 
71,2,2,8,12,0,8,0,7,9,28.256999999999998,10,0,1,88 12 
72,4,4,2,11,1,18,1,5,6,37.9,10,0,1,88 11 
73,8,2,1,22,1,19,0,12,6,52.646,10,0,1,88 22 
74,1,4,4,14,0,16,1,1,8,29.897,10,0,1,88 14 
75,2,1,3,18,1,20,1,2,7,32.446999999999996,10,0,1,88 18 
76,4,1,4,25,0,43,0,8,2,32.402,10,0,1,88 25 
77,1,2,8,19,0,13,1,11,6,26.968000000000004,10,0,1,88 19 
78,8,8,8,10,1,36,0,7,4,29.125999999999998,10,0,1,88 10 
79,8,8,7,12,0,33,0,2,1,29.186,10,0,1,88 12 
80,1,4,2,8,0,7,0,3,4,35.375,10,0,1,88 8 
81,2,4,2,11,0,9,0,4,3,41.05,10,0,1,88 11 
82,1,2,1,6,1,30,0,15,8,98.027,10,0,1,88 6 
