index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
243,8,4,2,24,1,29,0,10,2,155.504,30,0,1,248 24 
244,2,8,7,24,0,11,0,15,1,120.639,30,0,1,248 24 
245,1,4,2,8,0,8,1,2,3,202.017,30,0,1,248 8 
246,4,1,3,23,1,48,0,14,1,94.84100000000001,30,0,1,248 23 
247,4,2,2,26,1,13,0,3,9,171.665,30,0,1,248 26 
248,2,8,3,10,1,12,1,9,6,125.243,30,0,1,248 10 
249,2,4,8,3,1,9,1,9,3,74.6,30,0,1,248 3 
250,8,2,5,3,0,17,0,11,7,59.92100000000001,30,0,1,248 3 
251,8,8,2,28,0,6,1,5,1,205.676,30,0,1,248 28 
252,1,1,3,7,1,20,1,2,2,188.043,30,0,1,248 7 
253,4,1,6,10,0,8,0,13,9,108.706,30,0,1,248 10 
254,8,4,4,12,0,4,0,15,7,88.74799999999999,30,0,1,248 12 
255,8,4,8,21,0,29,1,1,6,90.569,30,0,1,248 21 
256,8,1,2,20,1,9,1,13,7,170.65,30,0,1,248 20 
257,4,8,4,22,0,9,0,1,3,197.717,30,0,1,248 22 
258,8,1,8,13,0,38,0,11,4,78.928,30,0,1,248 13 
259,4,2,1,12,0,28,0,5,8,366.449,30,0,1,248 12 
260,8,1,7,10,0,12,1,4,3,197.68900000000002,30,0,1,248 10 
261,8,4,6,19,1,35,0,9,7,129.718,30,0,1,248 19 
262,2,2,8,19,1,49,0,1,7,86.581,30,0,1,248 19 
263,4,1,3,6,1,37,0,10,5,80.242,30,0,1,248 6 
264,2,1,1,19,0,42,1,5,8,214.199,30,0,1,248 19 
265,2,8,6,3,1,22,1,8,1,88.28399999999999,30,0,1,248 3 
266,1,1,3,16,1,30,1,2,7,88.625,30,0,1,248 16 
267,2,4,1,15,1,30,0,10,4,255.196,30,0,1,248 15 
268,1,2,1,12,0,38,1,4,2,283.405,30,0,1,248 12 
269,8,8,2,8,1,3,1,9,8,218.479,30,0,1,248 8 
270,2,1,5,15,0,34,1,2,7,142.08,30,0,1,248 15 
271,1,2,2,24,0,43,1,6,1,204.176,30,0,1,248 24 
272,1,4,2,10,1,38,0,2,6,132.793,30,0,1,248 10 
273,8,2,7,7,0,6,0,7,8,62.034,30,0,1,248 7 
274,1,4,3,10,1,42,1,12,7,74.056,30,0,1,248 10 
275,1,8,6,29,1,12,1,12,3,54.925,30,0,1,248 29 
276,8,2,1,4,1,40,0,13,3,157.81799999999998,30,0,1,248 4 
277,1,2,3,20,0,36,0,4,3,178.725,30,0,1,248 20 
278,2,1,8,20,0,38,1,13,5,119.766,30,0,1,248 20 
279,8,2,7,2,0,43,1,3,7,84.79299999999999,30,0,1,248 2 
280,2,8,7,16,0,5,1,6,5,53.313,30,0,1,248 16 
281,8,1,4,2,0,13,0,3,2,76.285,30,0,1,248 2 
282,1,4,3,18,1,17,0,9,4,78.72,30,0,1,248 18 
283,2,4,3,4,1,37,0,8,8,56.963,30,0,1,248 4 
284,8,1,4,4,1,23,0,5,5,84.242,30,0,1,248 4 
285,8,1,3,7,0,49,1,12,7,85.48200000000001,30,0,1,248 7 
286,4,4,4,22,1,15,0,3,2,73.852,30,0,1,248 22 
287,1,4,3,11,1,39,1,6,9,56.248999999999995,30,0,1,248 11 
288,1,2,4,21,1,6,0,15,6,56.373999999999995,30,0,1,248 21 
289,8,1,1,6,0,3,0,3,2,131.086,30,0,1,248 6 
290,2,1,4,20,0,18,1,9,2,177.00799999999998,30,0,1,248 20 
291,1,1,1,26,1,8,0,11,3,252.22799999999998,30,0,1,248 26 
292,4,8,7,19,1,9,1,1,9,63.644,30,0,1,248 19 
293,1,8,6,2,0,7,1,15,7,53.876999999999995,30,0,1,248 2 
294,8,4,4,21,0,20,0,15,2,83.462,30,0,1,248 21 
295,1,8,4,23,1,24,0,1,9,69.367,30,0,1,248 23 
296,2,4,8,26,1,37,1,6,1,56.016999999999996,30,0,1,248 26 
297,2,2,1,12,1,4,0,9,9,317.36,30,0,1,248 12 
298,4,1,7,24,1,43,1,4,6,129.024,30,0,1,248 24 
299,2,8,4,12,1,27,0,5,7,125.429,30,0,1,248 12 
300,2,8,3,20,1,30,0,2,3,110.675,30,0,1,248 20 
301,4,8,7,5,1,14,0,6,3,62.705,30,0,1,248 5 
302,8,2,2,24,1,23,1,9,7,162.003,30,0,1,248 24 
303,4,8,4,6,0,17,1,13,2,154.387,30,0,1,248 6 
304,2,1,6,14,0,10,1,15,4,102.05799999999999,30,0,1,248 14 
305,4,2,4,3,0,42,0,2,6,95.439,30,0,1,248 3 
306,1,1,8,10,1,43,0,4,5,61.023,30,0,1,248 10 
307,2,1,5,12,0,33,0,4,2,58.586999999999996,30,0,1,248 12 
308,4,2,8,17,0,48,0,2,4,54.531000000000006,30,0,1,248 17 
309,4,1,8,7,0,21,0,9,3,52.839,30,0,1,248 7 
310,8,4,8,5,1,5,0,1,4,53.353,30,0,1,248 5 
311,2,1,8,20,1,13,1,15,9,53.18600000000001,30,0,1,248 20 
312,2,2,4,9,0,5,1,11,6,56.321999999999996,30,0,1,248 9 
313,1,1,2,9,0,15,0,6,7,60.669,30,0,1,248 9 
314,2,8,8,20,1,25,1,6,7,53.998000000000005,30,0,1,248 20 
315,4,2,6,24,0,18,1,9,5,55.473,30,0,1,248 24 
316,1,2,7,11,1,13,1,4,3,54.989,30,0,1,248 11 
317,4,4,1,2,1,9,0,11,1,364.356,30,0,1,248 2 
318,4,2,8,16,0,27,0,4,2,243.845,30,0,1,248 16 
319,1,2,4,20,0,24,0,2,5,179.173,30,0,1,248 20 
320,1,8,3,3,0,9,1,7,1,101.39200000000001,30,0,1,248 3 
321,8,2,3,3,0,32,1,7,4,110.023,30,0,1,248 3 
322,2,1,3,13,1,12,0,10,9,85.061,30,0,1,248 13 
323,4,1,8,8,1,14,1,15,3,54.403999999999996,30,0,1,248 8 
324,4,1,3,11,0,48,0,13,1,59.349,30,0,1,248 11 
325,4,2,3,11,1,30,0,8,8,57.144,30,0,1,248 11 
326,1,1,1,8,0,4,1,5,4,174.24900000000002,30,0,1,248 8 
327,1,2,3,12,0,15,0,13,4,77.86,30,0,1,248 12 
328,8,4,1,17,0,22,0,4,2,154.74,30,0,1,248 17 
329,2,8,7,22,1,36,1,10,5,129.83700000000002,30,0,1,248 22 
330,2,1,4,28,1,34,0,6,8,120.781,30,0,1,248 28 
331,4,2,6,4,1,27,0,12,2,62.82899999999999,30,0,1,248 4 
332,1,2,3,7,0,38,1,9,6,75.268,30,0,1,248 7 
333,4,8,1,7,1,38,0,15,2,316.655,30,0,1,248 7 
334,4,2,2,4,0,24,1,12,7,342.436,30,0,1,248 4 
335,1,1,4,18,0,10,0,12,2,162.95,30,0,1,248 18 
336,1,4,4,3,1,39,0,14,3,133.248,30,0,1,248 3 
337,8,1,3,15,1,44,1,8,5,96.24700000000001,30,0,1,248 15 
338,4,2,3,8,0,32,0,8,2,100.137,30,0,1,248 8 
339,4,2,2,16,1,37,1,14,2,100.459,30,0,1,248 16 
340,4,4,3,15,0,42,0,4,2,94.37100000000001,30,0,1,248 15 
341,8,4,8,25,0,25,1,12,2,55.11600000000001,30,0,1,248 25 
342,1,8,8,17,1,21,1,8,7,53.674,30,0,1,248 17 
343,8,4,5,27,0,36,1,8,4,58.371,30,0,1,248 27 
344,2,8,5,24,0,42,0,9,8,56.724,30,0,1,248 24 
345,1,2,1,7,1,47,1,6,5,173.203,30,0,1,248 7 
346,1,1,7,11,1,35,1,14,3,63.793,30,0,1,248 11 
347,8,4,1,3,0,39,0,7,7,156.17,30,0,1,248 3 
348,4,4,2,3,1,38,0,2,5,199.45,30,0,1,248 3 
349,8,1,8,4,0,11,1,11,6,111.51299999999999,30,0,1,248 4 
350,4,2,1,8,1,11,1,14,5,333.648,30,0,1,248 8 
